TZSAZON_ID,AJTO,CIMTIP,CTELEP,EPULET,HATKEZD,HATVEGE,HAZSZ,IRSZ,KOZTJ,KOZTN,LEPCSOHAZ,ORSZ,PF,SZINT
1005,,SZ,Nyúl,,2007-10-20,2013-05-21,46,9082,01,Kossuth Lajos,,HU,,
1005,,SZ,Nyúl,,2013-05-22,3999-12-31,46,9082,01,Kossuth ,,HU,,
10050,,SZ,Berkenye,,2010-10-03,3999-12-31,20,2641,01,Kossuth,,HU,,
10051,,SZ,Kurd,,2010-10-14,3999-12-31,11,7226,01,Petőfi,,HU,,
10052,,SZ,Hajdúbagos,,2010-12-01,2013-11-14,1,4273,21,Óvoda,,HU,,
10052,,SZ,Hajdúbagos,,2013-11-15,3999-12-31,1,4273,01,Óvodaköz,,HU,,
10053,,SZ,Dombóvár,,2010-10-15,2013-09-30,1,7200,05,Szent István,,HU,,
10053,,SZ,Dombóvár,,2013-10-01,3999-12-31,18,7200,01,Szabadság,,HU,,
10054,,SZ,Dombóvár,,2010-10-15,2012-06-27,22/B,7200,05,Hunyadi,,HU,,
10054,,SZ,Dombóvár,,2012-06-28,2013-09-30,1,7200,05,Szent István,,HU,,
10054,,SZ,Dombóvár,,2013-10-01,3999-12-31,18,7200,01,Szabadság,,HU,,
10055,,SZ,Nagykamarás,,2010-10-15,3999-12-31,2,5751,01,Kossuth,,HU,,
10056,,SZ,Nagykamarás,,2010-10-14,3999-12-31,2,5751,01,Kossuth,,HU,,
10057,,SZ,Bókaháza,,2010-10-18,3999-12-31,55,8741,01,Kossuth Lajos,,HU,,
10058,,SZ,Esztergályhorváti,,2010-10-18,3999-12-31,4,8742,01,Arany János,,HU,,
10059,,SZ,Tárkány,,2007-10-20,3999-12-31,65,2945,01,Fő,,HU,,
1006,,SZ,Öttevény,,2007-10-20,3999-12-31,100,9153,01,Fő,,HU,,
10060,,SZ,Szendehely,,2010-10-03,3999-12-31,2,2640,01,Petőfi,,HU,,
10061,,SZ,Tárkány,,2010-10-13,3999-12-31,65,2945,01,Fő,,HU,,
10062,,SZ,Röszke,,2010-11-29,3999-12-31,84,6758,01,Felszabadulás,,HU,,
10063,,SZ,Herencsény,,2010-10-03,3999-12-31,13,2677,02,Kossuth,,HU,,
10064,,SZ,Egyházasgerge,,2010-10-03,2013-07-22,30,3185,02,Lenin,,HU,,
10064,,SZ,Egyházasgerge,,2013-07-23,3999-12-31,30,3185,02,Fő,,HU,,
10065,,SZ,Csécse,,2010-10-03,3999-12-31,48,3052,02,Rákóczi,,HU,,
10066,,SZ,Rozsály,,2010-10-18,3999-12-31,2,4971,01,Zrinyi,,HU,,
10067,,SZ,Gyöngyösmellék,,2010-10-14,3999-12-31,3,7972,05,Szabadság,,HU,,
10068,,SZ,Vámosoroszi,,2010-10-14,3999-12-31,17,4966,01,Petőfi,,HU,,
10069,,SZ,Kétújfalu,,2010-10-13,3999-12-31,11,7975,01,Arany János,,HU,,
1007,,SZ,Pázmándfalu,,2007-10-20,3999-12-31,64,9085,02,Fő,,HU,,
10070,,SZ,Zádor,,2010-10-15,3999-12-31,1,7976,01,Kossuth,,HU,,
10071,,SZ,Rózsafa,,2010-10-17,3999-12-31,44,7914,01,Kossuth,,HU,,
10072,,SZ,Bihartorda,,2010-10-14,3999-12-31,73,4174,01,Kossuth,,HU,,
10073,,SZ,Nagykereki,,2010-10-18,3999-12-31,22,4127,01,Kossuth,,HU,,
10074,,SZ,Parasznya,,2010-10-07,3999-12-31,23,3777,01,Rákóczi,,HU,,
10075,,SZ,Taktaharkány,,2010-10-13,3999-12-31,4,3922,02,Gépállomás,,HU,,
10076,,SZ,Köröm,,2010-10-21,3999-12-31,11,3577,01,Rákóczi Ferenc,,HU,,
10077,,SZ,Taktaharkány,,2010-11-26,3999-12-31,4,3922,01,Gépállomás,,HU,,
10078,,SZ,Vértessomló,,2010-10-11,3999-12-31,63,2823,01,Rákóczi Ferenc,,HU,,
10079,,SZ,Budapest,,2010-10-13,3999-12-31,165,1173,02,Pesti,,HU,,
1008,,SZ,Rábapatona,,2007-10-20,3999-12-31,18,9142,01,Kossuth Lajos,,HU,,
10080,,SZ,Budapest,,2010-10-13,3999-12-31,165,1173,02,Pesti,,HU,,
10081,,SZ,Budapest,,2010-10-13,3999-12-31,165,1173,02,Pesti,,HU,,
10082,,SZ,Budapest,,2010-10-13,3999-12-31,165,1173,02,Pesti,,HU,,
10083,,SZ,Budapest,,2010-10-13,3999-12-31,165,1173,02,Pesti,,HU,,
10084,,SZ,Budapest,,2010-10-12,3999-12-31,165,1173,02,Pesti,,HU,,
10085,,SZ,Budapest,,2010-10-13,3999-12-31,165,1173,02,Pesti,,HU,,
10086,,SZ,Budapest,,2010-10-12,3999-12-31,165,1173,02,Pesti,,HU,,
10087,,SZ,Budapest,,2010-10-13,3999-12-31,165,1173,02,Pesti,,HU,,
10088,,SZ,Mezőtárkány,,2010-10-13,3999-12-31,81,3375,02,Kossuth Lajos,,HU,,
10089,,SZ,Kisnamény,,2011-01-01,3999-12-31,20,4737,01,Kis,,HU,,
1009,,SZ,Táp,,2007-10-20,3999-12-31,39,9095,01,Győri,,HU,,
10090,,SZ,Homokkomárom,,2010-10-15,3999-12-31,35,8777,01,Jókai,,HU,,
10091,,SZ,Hosszúvölgy,,2010-10-14,3999-12-31,7,8777,01,Kossuth,,HU,,
10092,,SZ,Mezőladány,,2007-10-20,3999-12-31,29,4641,02,Dózsa,,HU,,
10093,,SZ,Pécel,,2010-11-02,3999-12-31,18,2119,01,Kossuth Lajos,,HU,,
10094,,SZ,Timár,,2010-10-18,3999-12-31,100,4466,02,Szabadság,,HU,,
10095,,SZ,Igrici,,2010-10-15,3999-12-31,57/a,3459,01,Kossuth,,HU,,
10096,,SZ,Szögliget,,2010-10-14,3999-12-31,57,3762,01,Kossuth Lajos,,HU,,
10097,,SZ,Kisjakabfalva,,2010-10-14,3999-12-31,65,7773,01,Fő,,HU,,
10098,,SZ,Márok,,2010-10-18,3999-12-31,3,7774,01,József A.,,HU,,
10099,,SZ,Tiszaalpár,,2010-10-12,3999-12-31,1,6066,05,Árpád,,HU,,
101,,SZ,Győr,,2007-10-20,2009-06-30,6,9021,02,Szent István,,HU,,
101,,SZ,Győr,,2009-07-01,3999-12-31,6,9021,01,Szent István,,HU,,
101,,LE,Győr,,2009-07-01,3999-12-31,,9002,,,,HU,11,
1010,,SZ,Pannonhalma,,2007-10-20,3999-12-31,10,9090,01,Dózsa Gy.,,HU,,
10100,,SZ,Villánykövesd,,2010-10-13,3999-12-31,2,7772,01,Kossuth,,HU,,
10101,,SZ,Gávavencsellő,,2010-10-18,3999-12-31,1,4472,02,Petőfi,,HU,,
10102,,SZ,Szerencs,,2010-10-14,3999-12-31,89,3900,02,Rákóczi,,HU,,
10103,,SZ,Miskolc,,2010-10-14,2012-06-07,110,3527,02,Dózsa György,,HU,,
10103,,SZ,Sajólád,,2012-06-08,3999-12-31,110,3572,02,Dózsa György,,HU,,
10104,,SZ,Sajólád,,2010-10-14,3999-12-31,110,3572,02,Dózsa György,,HU,,
10105,,SZ,Pilismarót,,2010-10-20,3999-12-31,15,2028,01,Rákóczi,,HU,,
10106,,SZ,Budapest,,2010-10-13,3999-12-31,2,1033,05,Fő,,HU,,
10107,,SZ,Bánk,,2010-10-03,3999-12-31,11,2653,23,Hősök,,HU,,
10108,,SZ,Cserhátsurány,,2010-10-03,3999-12-31,3,2676,02,Petőfi,,HU,,
10109,,SZ,Kétegyháza,,2010-10-15,3999-12-31,9,5741,05,Fő,,HU,,
1011,,SZ,Darnózseli,,2007-10-20,3999-12-31,8,9232,01,Ady Endre,,HU,,
10110,,SZ,Kétegyháza,,2010-10-14,3999-12-31,9,5741,05,Fő,,HU,,
10111,,SZ,Kétegyháza,,2010-10-14,3999-12-31,9,5741,05,Fő,,HU,,
