TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,REGI_PIR
10186,2011-01-01,3999-12-31,SZABOLCS-SZATMÁR-BEREG MEGYEI FÖLDHIVATAL,324986,
10186,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS MUNKAÜGYI KÖZPONT,325994,
10186,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328818,
10186,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597265,
10186,2011-01-01,3999-12-31,SZABOLCS-SZATMÁR-BEREG MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598493,
10186,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT ÉSZAK-ALFÖLDI REGIONÁLIS INTÉZETE,598712,
10186,2011-01-01,3999-12-31,SZABOLCS-SZATMÁR-BEREG MEGYEI KÖZIGAZGATÁSI HIVATAL,775784,
10187,2011-01-01,3999-12-31,JÁSZ-NAGYKUN-SZOLNOK MEGYEI FÖLDHIVATAL,324997,
10187,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS MUNKAÜGYI KÖZPONT,325994,
10187,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328818,
10187,2011-01-01,3999-12-31,ÉSZAK-ALFÖLDI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597265,
10187,2011-01-01,3999-12-31,JÁSZ-NAGYKUN-SZOLNOK MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598459,
10187,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT ÉSZAK-ALFÖLDI REGIONÁLIS INTÉZETE,598712,
10187,2011-01-01,3999-12-31,JÁSZ-NAGYKUN-SZOLNOK MEGYEI KÖZIGAZGATÁSI HIVATAL,775795,
10188,2011-01-01,3999-12-31,TOLNA MEGYEI FÖLDHIVATAL,325004,
10188,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,325862,
10188,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328764,
10188,2011-01-01,3999-12-31,DÉL-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597199,
10188,2011-01-01,3999-12-31,TOLNA MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598503,
10188,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT DÉL-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598745,
10188,2011-01-01,3999-12-31,TOLNA MEGYEI KÖZIGAZGATÁSI HIVATAL,775728,
10189,2011-01-01,3999-12-31,VAS MEGYEI FÖLDHIVATAL,325015,
10189,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,326023,
10189,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328852,
10189,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597254,
10189,2011-01-01,3999-12-31,VAS MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598514,
10189,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT NYUGAT-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598723,
10189,2011-01-01,3999-12-31,VAS MEGYEI KÖZIGAZGATÁSI HIVATAL,775805,
10190,2011-01-01,3999-12-31,VESZPRÉM MEGYEI FÖLDHIVATAL,325026,
10190,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,325916,
10190,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328841,
10190,2011-01-01,3999-12-31,KÖZÉP-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597276,
10190,2011-01-01,3999-12-31,VESZPRÉM MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598525,
10190,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT KÖZÉP-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598734,
10190,2011-01-01,3999-12-31,VESZPRÉM MEGYEI KÖZIGAZGATÁSI HIVATAL,775816,
10191,2011-01-01,3999-12-31,ZALA MEGYEI FÖLDHIVATAL,325037,
10191,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS MUNKAÜGYI KÖZPONT,326023,
10191,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG,328852,
10191,2011-01-01,3999-12-31,NYUGAT-DUNÁNTÚLI REGIONÁLIS EGÉSZSÉGBIZTOSÍTÁSI PÉNZTÁR,597254,
10191,2011-01-01,3999-12-31,ZALA MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,598536,
10191,2011-01-01,3999-12-31,ÁLLAMI NÉPEGÉSZSÉGÜGYI ÉS TISZTIORVOSI SZOLGÁLAT NYUGAT-DUNÁNTÚLI REGIONÁLIS INTÉZETE,598723,
10191,2011-01-01,3999-12-31,ZALA MEGYEI KÖZIGAZGATÁSI HIVATAL,775827,
10225,2011-01-01,3999-12-31,HATVAN VÁROSI MŰVELŐDÉSI KÖZPONT ÉS KÖNYVTÁR,647513,
10226,2011-01-01,3999-12-31,HATVAN VÁROSI MŰVELŐDÉSI KÖZPONT ÉS KÖNYVTÁR,647513,
10233,2011-01-01,3999-12-31,ADÓ- ÉS PÉNZÜGYI ELLENŐRZÉSI HIVATAL,303082,
10233,2011-01-01,3999-12-31,VÁM- ÉS PÉNZÜGYŐRSÉG,746034,
10242,2011-02-01,3999-12-31,MAGYAR HONVÉDSÉG ÖSSZHADERŐNEMI PARANCSNOKSÁG,714020,
10243,2011-02-01,3999-12-31,ZRÍNYI MIKLÓS NEMZETVÉDELMI EGYETEM,708036,
10244,2012-04-04,3999-12-31,KÖZÖS FENNTARTÁSÚ CSALÁDSEGITÖ ÉS GYERMEKJÓLÉTI SZOLGÁLAT,664837,
1025,2008-03-01,3999-12-31,VÁROSI KINCSTÁR CSORNA,579207,
10265,2011-02-01,3999-12-31,"KÖZSÉGI VÍZMŰ, SZENT ANDRÁS GYÓGYVIZES STRAND ÉS KEMPING",653211,
10281,2011-02-01,3999-12-31,ECOSTAT GAZDASÁG- ÉS TÁRSADALOMKUTATÓ INTÉZET,327196,
1031,2010-01-01,3999-12-31,IDŐSEK KLUBJA,641643,
10315,2011-04-01,3999-12-31,TATABÁNYA MEGYEI JOGÚ VÁROS ÓVÁROSI BÖLCSŐDE,649968,
10315,2011-04-01,3999-12-31,TATABÁNYA MEGYEI JOGÚ VÁROS KERTVÁROSI BÖLCSŐDE,649979,
10315,2011-04-01,3999-12-31,TATABÁNYA MEGYEI JOGÚ VÁROS DÓZSAKERTI BÖLCSŐDE,649980,
10315,2011-04-01,3999-12-31,TATABÁNYA MEGYEI JOGÚ VÁROS SÁRBERKI BÖLCSŐDE,649991,
10315,2011-04-01,3999-12-31,"TATABÁNYA MEGYEI JOGÚ VÁROS MÓDSZERTANI BÖLCSŐDE, KÖZÉP-DUNÁNTÚLI REGIONÁLIS MÓDSZERTANI BÖLCSŐDE",650001,
1032,2008-01-01,3999-12-31,EGÉSZSÉGÜGYI ALAPELLÁTÁSI IGAZGATÓSÁG SOPRON,643054,
10324,2011-04-01,3999-12-31,PUSZTAVÁM-CSÁKBERÉNY KÖZSÉGEK KÖRJEGYZŐSÉGE,764290,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT ÁPOLÓ-GONDOZÓ OTTHONA,350349,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT IDŐSEK OTTHONA,350415,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT PSZICHIÁTRIAI OTTHONA,350426,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT PSZICHIÁTRIAI OTTHONA,350437,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT FOGYATÉKOSOK OTTHONA,350448,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT PSZICHIÁTRIAI OTTHONA,350460,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT FOGLALKOZTATÓ REHABILITÁCIÓS INTÉZMÉNYE ÉS FOGYATÉKOSOK OTTHONA,438658,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT IDŐSEK OTTHONA,547468,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT IDŐSEK OTTHONA,547578,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT ÁPOLÓ-GONDOZÓ OTTHONA,549637,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT IDŐSEK ÉS FOGYATÉKOSOK  OTTHONA,549660,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT IDŐSEK OTTHONA,549714,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT IDŐSEK OTTHONA,549725,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT IDŐSEK ÁPOLÓ-GONDOZÓ OTTHONA,585037,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI ÖNKORMÁNYZAT DR. CSIBA LÁSZLÓ GONDOSKODÁS ÉS ESÉLY HÁZA,586067,
10329,2011-04-01,3999-12-31,BORSOD-ABAÚJ-ZEMPLÉN MEGYEI GYERMEKVÉDELMI KÖZPONT,766920,
1033,2013-04-01,3999-12-31,SOPRONI REHABILITÁCIÓS GYÓGYINTÉZET,309886,
10340,2011-05-01,3999-12-31,CSONGRÁD MEGYEI ÖNKORMÁNYZAT MAROS MENTI SZOCIÁLIS INTÉZMÉNYE MAKÓ,761673,
10343,2011-05-01,3999-12-31,JÓZSEFVÁROSI SZOCIÁLIS INTÉZMÉNYEK GAZDASÁGI HIVATALA,508298,
10343,2011-05-01,3999-12-31,JÓZSEFVÁROSI CSALÁDSEGÍTŐ SZOLGÁLAT,679396,
10343,2011-05-01,3999-12-31,JÓZSEFVÁROSI GYERMEKJÓLÉTI SZOLGÁLAT GYERMEKEK ÁTMENETI OTTHONA,679406,
10347,2011-08-01,3999-12-31,NAPSUGÁR INTEGRÁLT ÓVODA,634047,
10347,2011-08-01,3999-12-31,LENCSÉSI LAKÓTELEPI ÓVODA,634058,
10348,2011-08-01,3999-12-31,SZIGLIGETI UTCAI ÓVODA,634069,
10348,2011-08-01,3999-12-31,KAZINCZY ÉS TREFORT UTCAI ÓVODA,634092,
10349,2011-04-01,3999-12-31,BUDAPEST FŐVÁROS  X. KERÜLET KŐBÁNYAI ÖNKORMÁNYZAT CSALÁDSEGÍTŐ SZOLGÁLAT,679880,
10349,2011-04-01,3999-12-31,BUDAPEST FŐVÁROS X. KERÜLET KŐBÁNYAI ÖNKORMÁNYZAT KŐBÁNYAI  GYERMEKJÓLÉTI KÖZPONT,679934,
10368,2011-08-01,3999-12-31,MARGARÉTA ÓVODA,645531,
10368,2011-08-01,3999-12-31,III. ANDRÁS ÁLTALÁNOS ISKOLA,645542,
10369,2011-07-01,3999-12-31,"TÜKÖRY LAJOS ÁLTALÁNOS ISKOLA, ALAPFOKÚ MŰVÉSZETOKTATÁSI INTÉZMÉNY ÉS EGYSÉGES PEDAGÓGIAI SZAKSZOLGÁLAT",347279,
10369,2011-07-01,3999-12-31,"KÖRÖSLADÁNY VÁROS ÖNKORMÁNYZAT ""ZÖLDÁG"" NAPKÖZIOTTHONOS ÓVODA ÉS BÖLCSŐDE",347280,
