TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,PIRTIP
12449,2013-07-01,3999-12-31,SZELESTE KÖZSÉG ÖNKORMÁNYZATA,421690,1
12449,2013-07-01,3999-12-31,ZSÉDENY KÖZSÉG ÖNKORMÁNYZATA,733876,1
12449,2013-07-01,3999-12-31,ÖLBŐ KÖZSÉG ÖNKORMÁNYZATA,733733,1
12449,2013-07-01,3999-12-31,PÓSFA KÖZSÉG ÖNKORMÁNYZATA,424503,1
12450,2013-07-01,3999-12-31,SZAKMÁR KÖZSÉG ÖNKORMÁNYZATA,337474,1
12450,2013-07-01,3999-12-31,SZAKMÁR KÖZSÉG ÖNKORMÁNYZATA,337474,4
12451,2013-07-01,3999-12-31,HEGYKŐ KÖZSÉG ÖNKORMÁNYZATA,367066,1
12451,2013-07-01,3999-12-31,AGYAGOSSZERGÉNY KÖZSÉG ÖNKORMÁNYZATA,370103,1
12451,2013-07-01,3999-12-31,FERTŐBOZ KÖZSÉG ÖNKORMÁNYZATA,370323,1
12451,2013-07-01,3999-12-31,FERTŐHOMOK KÖZSÉG ÖNKORMÁNYZATA,370345,1
12451,2013-07-01,3999-12-31,HIDEGSÉG KÖZSÉG ÖNKORMÁNYZATA,370389,1
12451,2013-07-01,3999-12-31,SARRÓD KÖZSÉGI ÖNKORMÁNYZAT,728263,1
12451,2013-07-01,3999-12-31,FERTŐSZÉPLAK KÖZSÉGI ÖNKORMÁNYZAT,728175,1
12451,2013-07-01,3999-12-31,NAGYLÓZS KÖZSÉG ÖNKORMÁNYZATA,728218,1
12451,2013-07-01,3999-12-31,PERESZTEG KÖZSÉG ÖNKORMÁNYZAT,728230,1
12451,2013-07-01,3999-12-31,PINNYE KÖZSÉG ÖNKORMÁNYZATA,728252,1
12451,2013-07-01,3999-12-31,FERTŐD VÁROS ÖNKORMÁNYZATA,727981,1
12452,2013-07-01,3999-12-31,KÖRÖSÚJFALU KÖZSÉG ÖNKORMÁNYZATA,344850,1
12452,2013-07-01,3999-12-31,KÖRÖSÚJFALU KÖZSÉG ÖNKORMÁNYZATA,344850,4
12453,2013-07-01,3999-12-31,KUNBAJA KÖZSÉG ÖNKORMÁNYZATA,724980,1
12453,2013-07-01,3999-12-31,KUNBAJA KÖZSÉG ÖNKORMÁNYZATA,724980,4
12454,2013-07-01,3999-12-31,VERSEG KÖZSÉG ÖNKORMÁNYZATA,730589,1
12454,2013-07-01,3999-12-31,VERSEG KÖZSÉG ÖNKORMÁNYZATA,730589,4
12455,2013-06-15,3999-12-31,CSEGÖLD KÖZSÉG ÖNKORMÁNYZATA,442538,1
12455,2013-06-15,3999-12-31,CSÁSZLÓ KÖZSÉG ÖNKORMÁNYZATA,442527,1
12456,2013-07-31,3999-12-31,FÁBIÁNSEBESTYÉN KÖZSÉGI ÖNKORMÁNYZAT,726753,1
12456,2013-07-31,3999-12-31,FÁBIÁNSEBESTYÉN KÖZSÉGI ÖNKORMÁNYZAT,726753,4
